Flore , Overcoming Procrastination
Rand , The Art of Fiction
What should I do with my life, Branson
The Future, Al Gore
Tools of Titans , Tim Ferris
glassboxmedicine.com, ''
The Road to Reality , Roger Penrose
S , J. J. Abrams
The Roots of Progress
The Feynman Lectures on Physics , Richard Feynman
The Stoa Blog
On Writing Well -- The Classic Guide to Writing Nonfiction
A book on meditation
An article about the Universal Approximation Theorem in Machine Learning
The Familar , Danielewski
The Western Canon, Harold Bloom
Multiple Giftedness in adults 2009, Bernstein
Mother of Learning
Some Academic Review of Stoicism and Stoic Ethics
Mark Rosenfielder's Almea
Moonwalking with Einstein
The Fabric of Reality, David Deutsch
Jorge Luis Borges, Selected Nonfictions
THe Enchiridion of Epictetus
Story Craft, The Complete Guide to Writing Narrative Nonfiction , Tony Hart
Natural language generation THe commercial state of the art in 2020, cambridge university press
The Story of Civilization , Will Durant
intelligence.org/files/LOGI.pdf
Milton , Paradise Lost
Essays , Francis Bacon
The Variety of Life , Colin Tudge
Research Adaptive Neural Networks
The Tempest, Shakespeare
The Structure of Scientific Revolutions
Scientific Freedom, The Elixir of Civilization
Essays , Samo Burja
Understanding the Brain, From Cells to Behavior to Cognition , John E. Dowling
Ficciones , Jorge LUis Borges
The Brothers Karamazov
The MOst Powerful Idea in the World , William Rosen
Michel de Montaigne, Essyas
The World of Orion's Arm
Shakespeare, The Merchant of Venice
Visualizing convolutional neural networks
Quine and other Analytic Philosophers
To Engineer is Human
Marion Tinsley and Chinook Checkers
Ten simple rules for the computational modeling of behavioral data
Foundation , Isaac Asimov
Shakespeare, King Lear
Sex at Dawn , Christopher ryann
La Comedie Humaine
Shakespeare, Othello
Euclid, the Elements`
Leaves of Grass, Walt Whitman
Interdisciplinary Conversations, Challenging Habits of Thought
Thus Spake Zarathustra
The Mind Illuminated
The Rise and Fall of the Third Reich , William L. Shirer
Zen and the Art of Motorcyle Maintenance
The Sequences
Bats of the Republic, An Illuminated Novel
William Janes, Pragmatism
Destiny Disrupted, A History of the World Through Islamic Eyes , Tamin Ansary
Bringing Down the House , Ben Mezrich
Mastering the Core Teachings of the Buddha
ARG Sources
The Global Commonwealth of Citizens, Towards a Cosmopolitan Democracy
Hamlet
Book on string theory
Shakespeare, Henry V
Lewis Mumford Technic and Civilisation
Hopscotch, Julio Cortazar
Works and Wisdom of Arhur Schopenhauer, Schopenhauer
A Random Walk Down Wall Street
Game and Puzzle Design , Cameron Browne
A Sense of an Ending , Both the novel , Julian Barnes and the literary study , Frank Kermonde it was based on
The Mystery.doc
The Beginning of Infinity, Explanations that Change the World
Hume, An Inquiry Concerning Human Understanding
Franz Kafka, The Metamorphosis
The Rape of the Lock, Alexander Pop
Newton, Principia Mathematica
Complete Works of Ralph Waldo Emerson (Especially Vol. VII, Society and Solitude, Twelve Chapters)
On Liberty, Hill
Essays , Orwell
Capital, Marx
Histories , Herodotus
Bulfinch's Mythology
Robert's Rules of Order
Psychology of Computer Programming
Meditations , Marcus Aurelius
Discourse on the Method
The Nature of Plants , Craig N. Huegel
Celeste Video Game
The Decline of the West, Spengler
Principles, Ray Dalio
Law's Order, David Friedman
Bhagavad Gita
Kant, Critique of Pure Reason
Wikipedia, List of weight training exercises
Macbeth
The Enlightenment, The Pursuit of Happiness , RItchie Robertson
Source Control HOWTO, Eric Sink
Tao te Ching
Born to Run , Christopher McDougall
The Rising Sun , john Toland
Book on the rise of Western Culture
Leonardo da Vinci's Notebooks
Candide, Voltaire
Wauntum Generations, A History of PHysics in the Twentieth Century , Helge Kragh
The Universe in a Nutshell , Hawking
NIsa, THe Life and Words of a !Kung Woman , Marjorie Shostak
Treatises on Principles of Govt, Locke
Biographia Literaria, Coleridge
The Quants , Scott Patterson
Human Diversity , Charles Murray
Lyrical Ballads, Coleridge
Paleontology, A Brief History of Life , Ian Tattersall
Multiple Choice , Alejandro Sambra
The Elements of Typographic Style , Robert Bringhurst
The complete I Ching , Master Lafred Huang
Class , Faul Fussell
Predictably Irrational, Dan Ariely
Dhammapada, Buddha
Hegel, The Philosophy of History
Ender's Game
Napoleon's Wars, An International Histoyr , Charles Esdaile
The Writer's Journey, Mythinc Structure for Writers
An INquiry into the Nature and Causes of the Wealth of Nations , Adam Smith
The Code Book , Simon Singh
Animals in Translation , Temple Grandin
You Shall Know Our Velocity
Plutarch, Parallel Lives
Computational Modeling, nibib.nih.gov
Rousseau, Discourse on Inequality
The Chrysanthemum and the Sword, Patterns of Japanese Culture , Ruthe Benecict
Montesquieu, The Spirit of Laws
Areopagitica, Milton
Saints and Psychopaths , William Hamilton
Shakespeare, Cymbeline
Shakespeare, Henvy VIII
Shakespeare, Julius Caesar
Jena,Jacques Rousseau The Social Contract
The Decline and Fall of the Roman Empire
Shakespeare, Coriolanus
Book on Muslim Philosophy
Kahneman Thinking, Fast and Slow
Mengzi , Mencius
Against INterpretation , Susan Sontag
Huckleberry Finn
Nudge , Richard Thaler
Neuromancer , Willian Gibson
Through the Language Glass , Guy Deutsch
Shakespeare, A Winter's Tale
Rand
Ecclesiastes
Mindfulness in Plain English , Bjhante Gunarantana
Poems , Emily Dickinson
The Precipice, Toby Ord
The Bell Curve , Charles Murray
Shakespeare, Twelfth Night
Life and Poetry of Zen Master Ryokan , Kazuaki Tanahashi
Birth of the Modern Mind, The Intellectual History of the 17th and 18th centuries
softwarefoundations.cis.upenn.edu
Burke
Rational CHoice in an Uncertain World
Impro Improvisation and the Theatre
Spinoza, Ethics
The Usefulness of Useless Knowledge
Antifragile , Nassim Nicholas Taleb
Africa's World War , Gerard Prunier
A Distant Mirror, The Calamitous 14th Century , Barbara W. Tuchman
The 4,Hour Worweek , Tim Ferris
Citizenship in a Republic , Theo. Roosevelt
Escape From Hell, Larry Niven
The Vital Question , Nick Lane
Proudhon
Don't Sleep, there are snakes , Daniel L. Everett
Locke, An Essay Concerning Human Understanding
Shakespeare, Sonnets
The Wrong Enemy America in Afghanistan, Carlotta Gall
Cicero On Friendship
Strategy , Freedman
The Soul fof A New Machine , Tracy Kidder
Behind the beautiful Forevers, Life, Death, and Hope in a Mumbai Undercity , Katherine Boo
Explding the PHone , Phil Lapsey
Shakespeare, A Midsummer Night's Dream
Shakespeare, Love's Labours Lost
Smith, The Wealth of Nations
Livy, History of Rome
Fukuyama
On the INterpretation of Dreams
Shakespeare, Pericles
Feeling Good, A New Mood Therapy (CBT)
Plato, The Republic
Lucretius, On the Nature of Things
Shakespeare, Much ado About Nothing
Shakespeare, Timon of Athens
Compilation of shargrol's posts at dharmaoverground
Shakespeare, Measure for Measure
Shakespere, The Henry IV Trilogy
Plotinus Enneads
Shakespeare, Henry IV, Part ONe
Research most prolfiic people
The Art of Intrusion, The Real Stories behind Hackers , kevin D. Mitnick
March of the Microbes , John Ingraham
Uncovering the New World Columbus Created, Charles Mann
Two Gentlemen of Verona
Shakespeare, Two Noble Kinsman
The Art of Happiness , the Dalai Lama
Francis Bacon, Novum Organum
CodeBullet AI Videos
Richard II , Shakespeare
The lives of the twelve Caesars
Out of Povery , Paul Polak
The Innovator's Dlemma , Clayton Christensen
Seven Days in the Art World , Sarah Thornton
Envisioning INformation , Edward Tufte
As You Like It, Shakespeare
John Donne, Poems
Kierkegaard
The Prelude, WIlliam Wordswroth
Collapse , How societies choose to fail or succeed , Jared Diamond
Ready Player One
A Companion to Ethics, Edited , Peter Singer
Moneyball , Michal Lewis
